"name" "longitude" "latitude" "elevation" "type" "subtype" "locality" "county" "province" "country"
"117" "T005a" -3.42494633275082 36.9673368025277 2003 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"119" "P008" -3.43336546209652 36.9571302255623 1807 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"120" "P037" -3.42191535858448 36.9611612091584 1806 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"121" "P014" -3.42206237158588 36.9641264353646 1845 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"122" "D002r" -3.41297572596361 36.9677359548184 1777 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"123" "G021a" -3.35382236155743 37.1191147469825 1847 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"124" "G014b" -3.3533346592367 37.1195308437961 1799 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"125" "G022a" -3.35420781167348 37.1184961394887 1872 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"126" "G020b" -3.35351856605984 37.1194816255626 1813 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"127" "T001a" -3.42283614635693 36.9656181215161 1904 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"128" "T005b" -3.42480226843113 36.9676132813731 2005 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"129" "T018a" -3.42837787832416 36.964273173307 1919 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"130" "T015b" -3.42256685025601 36.9710777747183 2059 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"131" "T002b" -3.42313694182084 36.9661804359716 1919 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"132" "T002a" -3.42346744740973 36.9660215096061 1918 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"133" "T009b" -3.41913864810915 36.9683760478944 1912 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"134" "T003b" -3.42370752909018 36.9667624051973 1949 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"135" "T015a" -3.42284744248919 36.9708399689456 2057 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"136" "T012a" -3.42129131876233 36.9695611985649 1979 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"137" "T004b" -3.42426277335151 36.9673134572583 1980 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"138" "T014b" -3.42195237628085 36.9706689606935 2035 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"139" "T001b" -3.42256250433554 36.9659030422498 1904 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
