id,dbh,h,eventDate,tr,loc,scientificName,sp
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23180,31,900,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23181,NA,23,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23182,27,1300,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23183,20,600,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23184,14,500,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23185,35,900,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23186,38,900,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23187,30,700,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23188,3,80,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23189,41,1200,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23190,33,900,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23191,3,99,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23192,28,800,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23193,4,88,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23194,1,44,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23195,44,1200,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23196,NA,70,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23197,2,NA,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23198,2,70,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23199,1.4,70,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23200,1.2,60,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23201,3,NA,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23202,1.3,40,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23203,1.8,50,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23204,2,110,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23205,NA,60,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26448,23,1600,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26449,12,1100,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26450,34,1600,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26451,2,90,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26452,10,600,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26453,21,1200,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26454,24,1250,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26455,17,900,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26456,6,350,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26457,5,300,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26458,5,350,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26459,7,400,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26460,5,200,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26461,21,900,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26462,3,150,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26463,NA,90,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26464,NA,110,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26465,NA,60,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26466,NA,80,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26467,NA,30,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26468,NA,50,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26469,NA,130,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A031-26470,NA,60,2013-10-04,A031,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26387,18,1100,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26388,3,210,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26389,28,1400,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26390,3,350,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26391,6,350,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26392,10,450,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26393,12,500,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26394,6,400,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26395,10,450,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26396,11,600,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26397,7,500,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26398,8,550,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26399,7,600,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26400,28,1200,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A032-26401,6,650,2013-10-04,A032,SJ,Quercus pyrenaica Willd.,Qpyr
