code,sh,shc,sh_c2,n_strata
A15,1.6907718382057118,0.6225777032298588,0.37909495711923774,6
B01,1.559581156259877,0.6897442652292858,0.3734267713988009,5
B02,1.468060203499046,0.5368663121060436,0.3302103487755204,6
B03,1.438882950216986,0.6157864424883941,0.33326819206743985,5
B05,1.4706741094823808,0.5392695843360706,0.3297610350988961,6
B06,1.4941751382893083,0.6332380142059831,0.34313199179947435,5
B08,1.5396544474400977,0.5630385241693951,0.3451909804944563,6
A01,1.4941751382893083,0.6956064075924313,0.37479316729149903,5
A02,1.3296613488547582,0.6857281288955172,0.3224375887291442,4
A03,0.9502705392332347,0.6733512074786362,0.2842784053594989,3
A05,1.0397207708399179,0.6946276488635438,0.30307707822652424,3
A07,1.3689223607402192,0.6963344625787199,0.32611420380800193,4
A06,1.0296530140645737,0.6995794630779452,0.29156947424010055,3
A09,0.9502705392332347,0.6616570880744891,0.28469516411323975,3
B11,0.6365141682948128,0.37460113791316907,0.3247251653192452,2
B12,1.564957250242801,0.6512502492711247,0.34990235003186754,5
B15,1.3316643102930148,0.5840976197471448,0.3248314115197413,5
B13,1.162225544921092,0.691625461056286,0.3414601383695796,4
B16,1.073542846408523,0.6714629332863387,0.32299198758037884,4
B17,1.303092403761719,0.5097688440003254,0.32455551375239183,6
B18,1.1537419427010902,0.639549670416607,0.3048187260570535,4
B19,1.499030672979008,0.6704698977033648,0.3665651553224203,5
B20,0.8675632284814612,0.7810991315648972,0.344616073081583,3
B21,1.6114722042607261,0.5857354667566967,0.3583266351567705,6
B22,1.4897503188505912,0.6696637465460424,0.3583010975149316,5
B23,1.4270610433807247,0.661223169975951,0.3540221558149405,5
B24,1.8711604142318063,0.5683573569553506,0.37951115521786355,7
B25,1.4593594123475306,0.5364972297402237,0.32925864840890645,6
B10,1.6726254461503207,0.5937325386148928,0.3598182133215125,6
B09,1.303875529336385,0.5704973294109833,0.3199457169115257,5
B27,1.0986122886681096,0.7370340980651588,0.3021732208262924,3
B30,1.5941666991180168,0.516092050784505,0.3482775528748709,7
A08,0.8675632284814612,0.6474064853596206,0.2786629144163474,3
A16,1.4127446368638479,0.6024136993146043,0.32577078151389427,5
A20,1.3074892671218044,0.6745555810907504,0.3165751289582022,4
A17,1.656551126696654,0.605414062763948,0.365580518097091,6
CAM1,0.6365141682948128,0.6712095912426599,0.2614123767853549,2
CAM2,1.457125110552818,0.48332585835227254,0.3270382485345026,7
CAM3,1.7838539603556165,0.539730133754954,0.36081502529311693,7
CAM4,1.5498260458782016,0.640778262330715,0.34203302597927554,5
CAM5,1.715669507321074,0.553573785630414,0.37198034915122763,7
DUR1,1.242453324894,0.6470405626643614,0.30925348003412506,4
DUR2,1.710037980294917,0.6321098859102111,0.43012719045459924,7
DUR3,1.810951142822531,0.6851239898970813,0.4622721408198457,7
DUR4,1.3296613488547582,0.772821079522454,0.3738996494886374,4
DUR5,1.6413851179100312,0.6696497429894349,0.40698905125528695,6
DIL1,1.7728817984730108,0.5994271163465429,0.40145070790818027,7
DIL2,1.4681399390162087,0.7775656063158386,0.42258803683655155,5
DIL3,1.3624474851916286,0.6523420332907198,0.3516324198957102,5
DIL4,2.069202465820362,0.49114324317067665,0.393614729285075,9
DIL5,1.6769877743224173,0.622226507360325,0.37353956404141664,6
POR1,1.4201164366884957,0.6499268984204161,0.3493997180180189,5
POR3,1.5509284726296328,0.6237435044337233,0.3904867456658169,6
POR2,1.4750763110546947,0.6148264515040189,0.3295794791993666,5
POR4,1.506759834258489,0.7362286590303045,0.4020161803408594,5
PAM1,1.893788232391138,0.6758862505726365,0.45852896094480666,7
PAM2,1.4184836619456564,0.6552963446958417,0.35299422061644115,5
PAM3,2.0867886695608995,0.6167829039160129,0.501902317384606,9
PAM4,1.5075429821787243,0.5880059073411613,0.3662217012894554,6
A-3,1.526168921661236,0.5693963414601901,0.34662541926359114,6
B-3,1.664603545623711,0.5873961009897655,0.3529761106999407,6
C-3,1.5353648568343155,0.6541393362984832,0.35163030071347506,5
CAN_CON_22,1.090453884192826,0.5229496564380508,0.29628043114664004,5
CAN_CON_26,0.4284570084364042,0.4824999121340892,0.23819028371180667,3
CAN_CON_33,0.8133700737134384,0.5216742625926583,0.26906170794055706,4
CAN_CON_34,1.4784229628182814,0.5454264377331012,0.333934609750541,6
CAN_RES_21,0.7155139308078031,0.5844955100868575,0.2631186256589856,3
CAN_RES_23,0.2337916587064593,0.47038242945447567,0.2277742795741436,2
CAN_RES_24,1.514771910105519,0.4921297237527408,0.3352318173069835,7
CAN_RES_25,0.9422220239894359,0.49443462346428024,0.2806303082180583,5
CAN_RES_27,1.4295937924815765,0.608243118716165,0.32951636501857,5
CAN_RES_28,0.5574651697742553,0.5943823555636145,0.25086906555036725,2
CAN_RES_29,0.950943844534504,0.5573895743751828,0.2815444448322642,4
CAN_RES_30,1.1842879333021086,0.627570315109055,0.30603748725890706,4
CAN_RES_31,1.2601731292829481,0.5554495615326644,0.3092437437861056,5
CAN_RES_35,1.0783723684987003,0.45503185177360433,0.29094255106415307,6
CAN_RES_37,0.6924211566971873,0.4853544118642993,0.25842737417308964,4
CAN_RES_38,0.6559757323365467,0.5546388285794633,0.25611939905774816,3
