"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","FRACCAB","ALTUMED"
"418",18,303,1,"105","2","10"
"419",18,303,2,"103","1","5"
"420",18,305,1,"105","15","10"
"421",18,305,2,"114","10","6"
"422",18,305,3,"101","5","5"
"423",18,305,4,"103","2","5"
"424",18,306,1,"114","20","10"
"425",18,307,1,"114","5","5"
"426",18,307,2,"103","1","1"
"427",18,307,3,"129","1","1"
"428",18,307,4,"105","1","1"
"429",18,308,1,"114","15","5"
"430",18,310,1,"114","5","3"
"431",18,310,2,"105","1","2"
"432",18,312,1,"105","5","25"
"433",18,312,2,"114","3","10"
"434",18,312,3,"103","2","4"
"435",18,313,1,"122","5","8"
"436",18,313,2,"129","2","1"
"437",18,314,1,"114","10","5"
"438",18,314,2,"103","3","5"
"439",18,315,1,"114","5","6"
"440",18,315,2,"103","2","4"
"441",18,315,3,"129","2","1"
"442",18,317,1,"105","5","2"
"443",18,320,1,"105","10","20"
"444",18,320,2,"114","5","10"
"445",18,320,3,"103","3","5"
"446",18,320,4,"101","2","5"
"447",18,324,1,"114","15","6"
"448",18,324,2,"103","5","6"
"449",18,325,1,"114","2","5"
"450",18,328,1,"114","3","7"
"451",18,330,1,"114","15","7"
"452",18,330,2,"105","5","6"
"453",18,333,1,"114","5","5"
"454",18,335,1,"114","10","5"
"455",18,335,2,"125","1","3"
"456",18,336,1,"114","5","5"
"457",18,338,1,"114","25","5"
"458",18,338,2,"103","1","2"
"459",18,340,1,"129","15","2"
"460",18,340,2,"103","2","3"
"461",18,340,3,"104","1","3"
"462",18,341,1,"129","8","2"
"463",18,341,2,"103","2","4"
"464",18,342,1,"103","5","4"
"465",18,342,2,"129","3","2"
"466",18,342,3,"104","1","3"
"467",18,343,1,"104","6","4"
"468",18,343,2,"129","3","2"
"469",18,344,1,"127","8","2"
"470",18,344,2,"129","5","2"
"471",18,344,3,"103","5","15"
"472",18,345,1,"129","5","2"
"473",18,345,2,"104","3","4"
"474",18,347,1,"129","15","2"
"475",18,347,2,"103","10","4"
"476",18,348,1,"129","10","2"
"477",18,348,2,"103","8","4"
"478",18,351,1,"104","15","5"
"479",18,351,2,"114","5","10"
"480",18,351,3,"129","5","2"
"481",18,352,1,"114","15","10"
"482",18,352,2,"104","10","4"
"483",18,352,3,"129","2","2"
"484",18,353,1,"129","20","2"
"485",18,353,2,"104","5","3"
"486",18,356,1,"101","20","6"
"487",18,356,2,"104","15","4"
"488",18,356,3,"129","5","2"
"489",18,356,4,"122","5","2"
"490",18,357,1,"104","30","3"
"491",18,357,2,"103","25","22"
"492",18,357,3,"129","15","2"
"493",18,358,1,"103","20","5"
"494",18,358,2,"129","10","2"
"495",18,358,3,"114","5","10"
"496",18,359,1,"114","30","11"
"497",18,359,2,"111","10","14"
"498",18,359,3,"125","10","7"
"499",18,359,4,"101","2","7"
"500",18,360,1,"114","25","4"
"501",18,360,2,"103","5","3"
"502",18,361,1,"103","15","5"
"503",18,362,1,"114","25","6"
"504",18,362,2,"101","3","4"
"505",18,363,1,"114","30","7"
"506",18,363,2,"101","7","5"
"507",18,363,3,"103","5","5"
"508",18,363,4,"125","4","8"
"509",18,365,1,"114","40","7"
"510",18,371,1,"129","5","2"
"511",18,371,2,"103","2","6"
"512",18,372,1,"114","20","5"
"513",18,379,1,"132","5","9"
"514",18,383,1,"128","8","3"
"515",18,383,2,"103","5","5"
"516",18,383,3,"132","2","6"
"517",18,384,1,"125","25","6"
"518",18,384,2,"103","5","8"
"519",18,391,1,"129","5","2"
"520",18,393,1,"114","8","5"
"521",18,393,2,"103","7","20"
"522",18,396,1,"103","10","12"
"523",18,396,2,"105","10","7"
"524",18,399,1,"105","30","10"
"525",18,399,2,"114","15","8"
"526",18,399,3,"103","10","3"
"527",18,399,4,"122","5","7"
"528",18,400,1,"114","30","5"
"529",18,402,1,"114","15","4"
"530",18,404,1,"114","20","6"
"531",18,405,1,"114","20","4"
"532",18,405,2,"103","20","12"
"533",18,406,1,"129","40","2"
"534",18,406,2,"103","30","14"
"535",18,406,3,"128","10","2"
"536",18,407,1,"114","15","9"
"537",18,407,2,"103","10","4"
"538",18,410,1,"114","20","8"
"539",18,410,2,"117","12","8"
"540",18,410,3,"111","10","10"
"541",18,410,4,"105","8","10"
"542",18,410,5,"125","5","5"
"543",18,410,6,"103","4","9"
"544",18,410,7,"132","1","5"
"545",18,416,1,"114","25","10"
"546",18,416,2,"103","10","5"
"547",18,416,3,"129","5","3"
"548",18,418,1,"114","40","9"
"549",18,418,2,"103","10","7"
"550",18,418,3,"104","5","4"
"551",18,423,1,"114","30","10"
"552",18,423,2,"122","8","11"
"553",18,423,3,"123","7","10"
"554",18,423,4,"103","5","9"
"555",18,428,1,"114","20","6"
"556",18,428,2,"103","15","12"
"557",18,428,3,"123","5","10"
"558",18,430,1,"114","5","5"
"559",18,430,2,"129","2","2"
"560",18,431,1,"114","15","5"
"561",18,431,2,"129","2","2"
"562",18,431,3,"104","2","3"
"563",18,432,1,"114","15","10"
"564",18,432,2,"129","3","2"
"565",18,432,3,"103","2","2"
"566",18,432,4,"127","1","3"
"567",18,437,1,"114","10","10"
"568",18,437,2,"101","8","10"
"569",18,437,3,"129","5","2"
"570",18,437,4,"103","2","4"
