"","PROVINCIA","ESTADILLO","TIPO","ST","ESPECIE","PAE","FORMA","DN","DS","CRE","HT","VCC","VSC","IAVC","VLE"
"1053",18,605,4,3,24,0,2,302.5,262.5,20,8,280.58359,226.547174,9.2565,0
"1054",18,605,3,4,24,0,3,201.5,139.5,20,5,70.161095,39.939131,3.386678,0
"1055",18,606,1,4,24,0,3,139,112,23,5.5,36.572704,25.50743,2.791926,0
"1056",18,606,2,5,24,0,5,570.5,499.5,17,9,636.67717,524.4041,9.731943,0
"1057",18,606,3,5,24,0,5,642,590,19,11,861.043394,749.749801,13.073661,0
"1058",18,606,4,5,24,0,5,301.5,235.5,28,6,167.785405,118.634057,7.615754,0
"1059",18,607,1,3,24,0,2,200.5,162.5,31,6.5,87.610654,61.549754,6.304435,0
"1060",18,607,2,4,24,0,3,167.5,131.5,19,4.5,45.499303,30.705145,2.482179,0
"1061",18,607,3,4,24,0,3,190.5,149.5,24,6,72.777043,49.089592,4.366072,0
"1062",18,607,4,5,24,0,5,455.5,373.5,18,8.5,412.877526,313.698596,8.308094,0
"1063",18,609,1,11,45,0,5,152,129,0,4.5,36.414728,26.22825,0,0
"1064",18,610,1,4,24,0,3,156,131,35,5.5,51.154176,37.524498,5.044291,0
"1065",18,610,2,4,24,0,3,130.5,105.5,24,5.5,33.958212,23.782068,2.838299,0
"1066",18,610,3,4,24,0,3,133,122,24,5.5,36.923309,29.909628,3.036689,0
"1067",18,610,4,4,24,0,3,126,99,25,5,27.622804,18.660694,2.461355,0
"1068",18,612,1,5,24,0,5,278,216,13,5,133.723617,93.888802,3.166746,0
"1069",18,612,4,5,24,0,5,151,81,8,5,44.227574,17.099033,1.181014,0
"1070",18,612,2,4,24,0,3,159,128,18,5,52.052374,36.262855,2.83454,0
"1071",18,612,3,3,24,0,2,353.5,299.5,14,8.5,372.441897,294.817743,7.510426,0
"1072",18,613,1,5,24,0,5,169.5,133.5,20,4.5,52.077968,35.290241,2.944701,0
"1073",18,613,2,4,24,0,3,178.5,151.5,16,5,61.85633,45.951676,2.716735,0
"1074",18,615,1,3,24,0,2,264,220,6,7.5,170.90993,130.160572,2.003149,0
"1075",18,615,2,5,24,0,5,350,295,11,9,262.582384,206.527169,4.228079,0
"1076",18,615,3,5,24,0,5,364,296,5,7.5,260.306613,195.683839,1.856435,0
"1077",18,615,4,5,24,0,5,528.5,456.5,7,11,605.147859,490.429657,4.162938,0
"1078",18,616,1,3,24,0,2,334.5,259.5,25,10,420.893261,297.441914,15.592345,0
"1079",18,616,2,3,24,0,2,314.5,253.5,24,10,344.332958,253.682463,13.008796,0
"1080",18,616,3,3,24,0,2,299,239,31,11.5,333.703323,243.205592,16.767551,0
"1081",18,616,4,3,24,0,2,226.5,164.5,7,7,115.013251,73.025174,1.821806,0
"1082",18,617,1,3,24,0,2,275,227,32,7.5,174.428322,132.464991,9.739131,0
"1083",18,617,2,5,24,0,5,256,188,15,5.5,120.065742,77.419411,3.53066,0
"1084",18,617,3,3,24,0,2,317.5,263.5,17,8.5,273.21897,208.899988,7.370183,0
"1085",18,617,4,3,24,0,2,275,219,26,7.5,201.678673,146.275224,9.30724,0
"1086",18,618,1,4,24,0,3,127,99,20,4.5,25.876964,17.304356,1.892247,0
"1087",18,618,3,5,24,0,5,274,221,21,7.5,155.551726,113.685356,5.900659,0
"1088",18,618,4,5,24,0,5,315.5,246.5,19,7.5,200.866106,142.073463,6.063242,0
"1089",18,618,2,5,24,0,5,283,217,17,5.5,143.999224,99.330943,4.336276,0
"1090",18,620,1,5,24,0,5,245.5,200.5,15,6,115.607893,85.847019,3.538173,0
"1091",18,620,2,4,24,0,3,149.5,119.5,18,6.5,48.937842,33.79021,2.818232,0
"1092",18,620,3,4,24,0,3,162.5,128.5,16,6,50.874771,34.651488,2.437594,0
"1093",18,620,4,5,24,0,5,225.5,167.5,21,7,106.020408,69.446787,4.82462,0
"1094",18,625,1,3,24,0,2,235.5,186.5,8,7,121.920652,87.020448,2.117852,0
"1095",18,625,4,3,24,0,2,170,140,16,6,65.932481,47.240562,3.029952,0
"1096",18,625,2,5,24,0,5,130,102,20,5,33.713219,22.734243,2.415445,0
"1097",18,625,3,5,24,0,5,136,109,17,6,39.626112,27.452926,2.360536,0
"1098",18,632,1,5,24,0,5,148.5,108.5,12,3.5,36.706864,22.52216,1.463388,0
"1099",18,632,2,5,24,0,5,169,125,9,3.5,46.403912,28.949515,1.245284,0
"1100",18,632,3,4,24,0,3,224,178,10,6,99.518845,68.205903,2.253533,0
"1101",18,632,4,5,24,0,5,263.5,215.5,14,5,121.348613,90.268587,3.249236,0
"1102",18,635,1,3,24,0,2,230,202,19,7.5,127.66956,103.572023,5.195946,0
"1103",18,635,2,3,24,0,2,387.5,332.5,22,8,368.199418,296.019256,10.50568,0
"1104",18,635,3,3,24,0,2,409.5,354.5,16,7,414.87751,337.130525,8.257117,0
"1105",18,640,1,3,24,0,2,235,195,10,7,154.357435,116.933172,3.336995,0
"1106",18,640,4,3,24,0,2,204,163,11,6,86.619472,59.778942,2.35242,0
"1107",18,640,2,3,24,0,2,256.5,211.5,10,6.5,153.139378,115.097928,3.041376,0
"1108",18,640,3,4,24,0,3,204.5,155.5,9,6.5,70.886015,45.888201,1.583161,0
"1109",18,641,1,3,24,0,2,256.5,222.5,9,8.5,215.157437,172.025371,3.857126,0
"1110",18,641,2,4,24,0,3,129,100,8,6,38.226776,25.378991,1.186629,0
"1111",18,641,3,4,24,0,3,133,102,8,5.5,36.329964,23.78425,1.095396,0
"1112",18,641,4,3,24,0,2,262,223,7,7,163.632038,127.890577,2.247814,0
"1113",18,642,1,12,45,0,4,205,184,0,5.5,82.931357,66.810804,0,0
"1114",18,642,2,11,45,0,5,79,73,0,4.5,10.163772,8.678536,0,0
"1115",18,644,1,4,24,0,3,82.5,71.5,12,3.5,11.00593,8.376899,0.750571,0
"1116",18,644,2,4,24,0,3,77.5,64.5,12,4,9.879298,7.169625,0.711818,0
"1117",18,644,3,3,24,0,2,544,470,6,10,899.186613,728.935894,5.159488,0
"1118",18,650,1,3,24,0,2,417.5,340.5,22,7,386.852426,291.907152,10.276734,0
"1119",18,650,2,5,24,0,5,250.5,191.5,20,5.5,115.430441,78.625879,4.550147,0
"1120",18,651,1,3,24,0,2,343.5,255.5,10,8,298.821603,199.413573,4.464748,0
"1121",18,651,2,3,24,0,2,296.5,228.5,15,8,225.228507,156.418473,5.753479,0
"1122",18,651,3,4,24,0,3,265.5,195.5,10,5,133.828108,86.614396,2.570326,0
"1123",18,651,4,5,24,0,5,254,214,10,5,113.534087,87.641094,2.276339,0
"1124",18,653,1,4,24,0,3,147.5,118.5,14,6,43.634483,30.320822,2.020975,0
"1125",18,653,2,4,24,0,3,185,153,17,6,64.984223,46.802016,2.920813,0
"1126",18,653,3,5,24,0,5,261.5,216.5,13,5.5,124.782702,94.263063,3.134418,0
"1127",18,653,4,4,24,0,3,161,124,12,5.5,54.848793,36.108443,2.026686,0
"1128",18,654,1,3,24,0,2,267.5,200.5,16,6.5,149.735026,99.302125,4.49055,0
"1129",18,654,3,4,24,0,3,253,179,11,5.5,117.957217,72.182994,2.603679,0
"1130",18,654,4,4,24,0,3,208,163,14,6,89.711575,60.401082,3.010199,0
"1131",18,654,2,4,24,0,3,196,168,10,5,80.598138,60.568443,2.075712,0
"1132",18,655,1,4,24,0,3,142,120,14,4.5,37.861661,27.983128,1.816299,0
"1133",18,655,2,3,24,0,2,237.5,173.5,7,6.5,112.886813,72.261283,1.707147,0
"1134",18,655,3,7,25,0,3,168.5,125.5,7,5,54.19595,33.828399,1.256171,0
"1135",18,655,4,4,24,0,3,159,125,14,5.5,49.72913,33.619329,2.148121,0
"1136",18,657,1,12,45,0,4,170,154,0,5,31.835103,26.124613,0,0
