"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1417",18,829,1,"1","2.6","2.4","4","3",NA,NA,"13",NA,NA,NA
"1418",18,829,2,"2","1.9","2.0","4","4",NA,NA,"13",NA,NA,NA
"1419",18,829,3,"3","2.4","2.3","3","5",NA,NA,"14",NA,NA,NA
"1420",18,829,4,"4","2.3","2.7","5","6",NA,NA,"12",NA,NA,NA
"1421",18,832,1,"1","2.4","3.3","5","5",NA,NA,"20",NA,NA,NA
"1422",18,832,2,"2","2.9","3.5","6","5",NA,NA,"19",NA,NA,NA
"1423",18,832,3,"3","3.2","3.0","7","6",NA,NA,"14",NA,NA,NA
"1424",18,832,4,"4","4.6","4.4","5","5",NA,NA,"21",NA,NA,NA
"1425",18,833,1,"1","4.2","3.4","7","6",NA,NA,"18",NA,NA,NA
"1426",18,833,2,"2","5.3","4.9","5","6",NA,NA,"25",NA,NA,NA
"1427",18,833,3,"3","3.9","3.4","6","7",NA,NA,"20",NA,NA,NA
"1428",18,833,4,"4","3.8","3.7","7","6",NA,NA,"19",NA,NA,NA
"1429",18,834,1,"1","2.8","3.3","10","8",NA,NA,"14",NA,NA,NA
"1430",18,834,2,"2","2.6","2.5","8","9",NA,NA,"12",NA,NA,NA
"1431",18,834,3,"3","2.4","2.3","11","11",NA,NA,"14",NA,NA,NA
"1432",18,834,4,"4","2.0","2.8","10","11",NA,NA,"14",NA,NA,NA
"1433",18,839,1,"1","3.7","3.5","18","15","7","4",NA,NA,NA,NA
"1434",18,839,2,"2","3.4","3.6","15","12","10","5",NA,NA,NA,NA
"1435",18,839,3,"3","3.9","3.2","33","41","7","11","10",NA,NA,NA
"1436",18,839,4,"4","3.9","3.8","38","39","9","12","12",NA,NA,NA
"1437",18,843,1,"1","4.7","3.8","12","16","5","7","12",NA,NA,NA
"1438",18,843,2,"2","5.0","5.3","23","23","4","5","17",NA,NA,NA
"1439",18,843,3,"3","5.5","6.1","25","22","6","9","19",NA,NA,NA
"1440",18,843,4,"4","5.3","5.9","15","12","8","6","18",NA,NA,NA
"1441",18,851,1,"1","2.2","1.4","9","9",NA,NA,NA,NA,NA,NA
"1442",18,851,2,"2","3.7","2.7","9","11",NA,NA,NA,NA,NA,NA
"1443",18,852,1,"1","3.7","3.7","9","11",NA,NA,NA,"16","1.6",NA
"1444",18,852,2,"2","2.8","3.2","8","8",NA,NA,NA,NA,NA,NA
"1445",18,852,3,"3","3.2","3.1","9","8",NA,NA,NA,NA,NA,NA
"1446",18,852,4,"4","4.3","3.8","9","9",NA,NA,NA,"15","1.5",NA
"1447",18,853,1,"1","3.3","3.2","15","16","5","6",NA,"8","3.3","1.5"
"1448",18,853,2,"2","4.0","3.7","14","14","6","6","9",NA,NA,NA
"1449",18,853,3,"3","3.1","3.8","11","13","9","8",NA,"8","3.2","1.4"
"1450",18,853,4,"4","4.1","4.1","19","22","6","5","13",NA,NA,NA
"1451",18,854,1,"1","5.7","4.2","15","18","6","6",NA,NA,NA,NA
"1452",18,854,2,"2","4.5","4.5","18","20","6","6",NA,NA,NA,NA
"1453",18,854,3,"3","3.6","3.0","13","13","7","6",NA,"8","2.6","1.7"
"1454",18,854,4,"4","2.9","2.5","16","14","5","7","10",NA,NA,NA
"1455",18,855,1,"1","1.8","1.7","10","9",NA,NA,NA,"8","2.1","0.1"
"1456",18,855,2,"2","3.4","3.6","25","30","20","18",NA,NA,NA,NA
"1457",18,855,3,"3","2.5","2.2","22","26","15","16",NA,"8","2.5","1.5"
"1458",18,858,1,"1","1.8","2.4","5","5",NA,NA,NA,NA,NA,NA
"1459",18,859,1,"1","4.0","3.5","10","15",NA,NA,NA,NA,NA,NA
"1460",18,859,2,"2","4.2","4.3","11","15",NA,NA,NA,"17","1.6",NA
"1461",18,859,3,"3","4.0","3.1","10","12",NA,NA,NA,NA,NA,NA
"1462",18,859,4,"4","2.5","2.6","10","15",NA,NA,NA,NA,NA,NA
