"","PROVINCIA","ESTADILLO","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2"
"1088",18,740,NA,960115,0,6,4,1,3,"S",960206,3,"0994","2","0994M06","514","4135","95","085","5","5","0","2","19","19","2","5","9","1","0","15","25","25","4","7","0","4",NA,"21",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"25","21","45","39",NA,NA,NA,"2","01","W","17",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P217","45",NA,"9.50",NA
"1089",18,741,NA,960115,0,3,3,1,2,"S",960206,3,"0994","2","0994M07","516","4135","95","023","1","1","0","2","20","20","1","3","9","2","50","05","25","39","2","6","4","1",NA,"25",NA,"3",NA,"4",NA,"37",NA,"1",NA,"1","39","3","6",NA,"25","3","1",NA,"37","3","6",NA,"39","25","37",NA,NA,NA,NA,"2","01","W","15",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","390",NA,"4.00",NA
"1090",18,742,NA,960115,0,0,0,1,4,"S",960206,3,"0994","2","0994M07","517","4135","95","023","1","1","0","2","18","18","2","3","9","1","0","15","25","25","0","3","1","4",NA,"21",NA,"3",NA,"3",NA,"39",NA,"3",NA,"1","25","3","1",NA,"21","3","1",NA,"39","3","6",NA,"25","21","39","37",NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","160",NA,"3.50",NA
"1091",18,743,NA,960101,13,11,4,3,2,"S",960118,12,"0994","2","0994M07","518","4135","95","023","1","1","0","2","17","17","1","5","9","1","0","35","25","25","0","8","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","39","37","45",NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"01","30",NA,"10.00",NA
"1092",18,744,NA,960115,0,2,2,2,3,"S",960206,3,"0994","2","0994M08","520","4135","95","023","1","1","0","2","14","14","1","5","9","1","0","25","25","25","0","5","1","2",NA,"26",NA,"4",NA,"2",NA,"24",NA,"1",NA,"2","25","1","2","20","26","1","2","20","24","1","2","20","25","26","24",NA,NA,NA,NA,"2","01","W","20",NA,NA,NA,"6","1","2",NA,"1",NA,"0","0",NA,NA,"P217","195",NA,"7.50",NA
"1093",18,745,NA,960115,0,0,0,2,2,"S",960206,3,"0994","2","0994M10","524","4135","95","039","1","1","0","2","12","12","1","4","9","1","50","15","26","26","0","7","4","2",NA,"24",NA,"3",NA,"2",NA,NA,NA,NA,NA,NA,"26","1","2","20","24","1","2","20",NA,NA,NA,NA,"26","24","45",NA,NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"M917","345",NA,"4.50",NA
"1094",18,746,NA,960115,0,0,0,0,0,"S",960206,3,"0994","2","0994M11","526","4135","95","039","5","5","0","2","11","11","1",NA,"9","0","0","0","24",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095",18,747,NA,960115,0,0,0,0,0,"S",960206,3,"0994","2","0994M11","527","4135","95","039","5","5","0","2","11","11","1",NA,"9","0","0","0","24",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096",18,748,NA,960115,0,0,0,0,0,"S",960206,3,"0994","2","0994M06","514","4134","95","085","6","6","0","2","18","18","2",NA,"9","0","0","0","25",NA,"4",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097",18,749,NA,960115,0,3,3,0,1,"S",960206,3,"0994","2","0994M06","515","4134","95","023","5","5","0","2","19","19","2","4","9","1","0","30","25","21","4","5","0","3",NA,"25",NA,"3",NA,"3",NA,"15",NA,"1",NA,"1","21","1","2","24","25","1","2","24","15","3","6",NA,"21","25","15","37","39",NA,NA,"2","01","W","11",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P204","185",NA,"4.75",NA
