"","COD_LINEA","ESTRATO","ESPECIE","LIT_LINEA","CANT_P_MA","AREAB","VCC","VSC","IAVC","VLE"
"125",4,2,0,"45",0.25,0.0374284,0.2280335,0.179546,0.0042699,0.0134213
"126",4,2,0,"50",0.1,0.0195682,0.1168087,0.0927217,0.0051226,0.0075076
"127",4,2,0,"55",0.05,0.010501,0.0631962,0.0479124,0.0020254,0.0034042
"128",4,2,0,"60",0.05,0.0144166,0.0436653,0.0365789,0.0024707,0.0067101
"129",5,2,0,"TOTALES",708.18,14.1113113,53.3980735,37.987712,3.1210276,3.9764598
"130",6,2,0,"S2 (X)",265440.74,136.25,3031.38,1702.6,7.63,10.71
"131",1,3,21,"20",0.87,0.0235124,0.0655025,0.0522119,0.0050631,0.0076799
"132",1,3,21,"25",0.78,0.0392315,0.1732225,0.1446256,0.0082077,0.0134221
"133",1,3,21,"30",0.78,0.0559033,0.2603693,0.22062,0.0104936,0.0196284
"134",1,3,21,"35",0.19,0.0182742,0.0800312,0.0682985,0.0029274,0.0065417
"135",1,3,21,"40",0.19,0.0226193,0.1265691,0.1100408,0.0032718,0.0082246
"136",2,3,21,"TOTALES",2.81,0.1595407,0.7056946,0.5957968,0.0299636,0.0554967
"137",3,3,21,"S2 (X)",501.37,1.65,31.97,22.82,0.05,0.2
"138",1,3,24,"10",61.04,0.4611618,1.0900931,0.7930862,0.0879662,0.1226278
"139",1,3,24,"15",44.04,0.7852459,2.2374888,1.5553405,0.115295,0.2394007
"140",1,3,24,"20",20.06,0.5978171,2.0189653,1.4375657,0.0810422,0.1980576
"141",1,3,24,"25",6.2,0.300115,1.0548496,0.7726497,0.0361139,0.1076618
"142",1,3,24,"30",4.46,0.3024654,1.1367467,0.8483895,0.0352009,0.1147168
"143",1,3,24,"35",2.13,0.2010637,0.7761113,0.5894263,0.0216464,0.0804972
"144",1,3,24,"40",0.97,0.1127922,0.4861421,0.3728973,0.013415,0.0467475
"145",1,3,24,"45",0.14,0.0204561,0.0767159,0.0621817,0.0011597,0.0088075
"146",1,3,24,"50",0.07,0.0123892,0.0427809,0.033128,0.0011278,0.0055059
"147",1,3,24,"55",0.07,0.0159191,0.0400732,0.0325355,0.0007341,0.0073746
"148",1,3,24,"65",0.07,0.0244508,0.1479658,0.128424,0.0020319,0.0121613
"149",1,3,24,"70",0.14,0.0880985,0.5390177,0.532443,0.0017248,0.0485158
"150",2,3,24,"TOTALES",139.39,2.9219748,9.6469504,7.1580674,0.3974579,0.9920745
"151",3,3,24,"S2 (X)",70432.31,22.63,280.86,153.07,0.5,2.52
"152",1,3,25,"10",5.23,0.0349265,0.0722443,0.0520293,0.006133,0.0071973
"153",1,3,25,"15",3.05,0.055491,0.1540718,0.101931,0.0131751,0.0140433
"154",1,3,25,"20",2.62,0.0824389,0.3040153,0.2129105,0.0147432,0.023349
"155",1,3,25,"25",1.74,0.0757596,0.3125157,0.2245934,0.0115608,0.0228441
"156",1,3,25,"30",0.39,0.0234423,0.0929025,0.0677829,0.0030351,0.0075635
"157",1,3,25,"40",0.19,0.0241706,0.1914883,0.1460718,0.0041254,0.0090512
"158",2,3,25,"TOTALES",13.22,0.2962289,1.1272379,0.8053189,0.0527726,0.0840484
"159",3,3,25,"S2 (X)",3385.34,1.48,18.67,9.43,0.04,0.12
"160",1,3,26,"10",52.32,0.4075988,0.9042111,0.5600829,0.082529,0.0887213
"161",1,3,26,"15",25.73,0.4480295,1.2555358,0.7838236,0.0992327,0.1072993
"162",1,3,26,"20",27.47,0.8388303,3.2961372,2.1687386,0.1704572,0.2147184
"163",1,3,26,"25",13.37,0.6535893,2.7089574,1.8520925,0.1025421,0.1769586
"164",1,3,26,"30",11.43,0.8101447,3.6084624,2.5313415,0.1124278,0.229244
"165",1,3,26,"35",9.88,0.9466611,4.5842187,3.2782274,0.129951,0.2777397
"166",1,3,26,"40",5.23,0.6522616,3.359255,2.4402766,0.0931093,0.1975012
"167",1,3,26,"45",3,0.4650478,2.5079268,1.8494088,0.0718275,0.1445351
"168",1,3,26,"50",1.05,0.1968787,1.0211524,0.7591121,0.0299335,0.0626238
"169",1,3,26,"55",0.49,0.1142281,0.5813079,0.4378458,0.0180813,0.0372987
"170",1,3,26,"60",0.21,0.0573028,0.3506343,0.2715575,0.0126509,0.0190656
"171",1,3,26,"65",0.14,0.0462404,0.3311537,0.2679318,0.0151395,0.0162639
"172",2,3,26,"TOTALES",150.32,5.6368131,24.5089527,17.2004391,0.9378818,1.5719696
"173",3,3,26,"S2 (X)",63218.09,70.47,1652.68,826.33,2.1,5.65
"174",1,3,43,"15",1.31,0.0252734,0.0631516,0.0470872,0.0025275,0.012061
"175",2,3,43,"TOTALES",1.31,0.0252734,0.0631516,0.0470872,0.0025275,0.012061
"176",3,3,43,"S2 (X)",124.91,0.04,0.29,0.16,0,0.01
"177",1,3,45,"10",17.44,0.1346624,0.3021822,0.2218237,0,0.0743902
"178",1,3,45,"15",4.36,0.084083,0.1768294,0.1388609,0,0.0600384
"179",1,3,45,"20",1.31,0.0413537,0.0840963,0.0681637,0,0.0339456
"180",1,3,45,"25",1.16,0.056603,0.1427355,0.118101,0,0.052261
"181",2,3,45,"TOTALES",24.27,0.3167021,0.7058434,0.5469493,0,0.2206352
"182",3,3,45,"S2 (X)",13145.38,1.65,7.95,4.71,0,0.78
"183",1,3,58,"10",1.74,0.019726,0.0414539,0.0047781,0.0307135,0.0069746
"184",1,3,58,"15",2.62,0.0469952,0.1539785,0.0882211,0.0503408,0.0173012
"185",1,3,58,"20",1.74,0.0528726,0.2011239,0.1454353,0.0380397,0.0203133
"186",1,3,58,"35",0.19,0.0162752,0.0692547,0.0570306,0.0062379,0.0068047
"187",1,3,58,"45",0.07,0.0118991,0.0655769,0.0549208,0.0036682,0.0052786
"188",1,3,58,"70",0.07,0.0304943,0.1655499,0.1333822,0.005253,0.0146353
"189",2,3,58,"TOTALES",6.43,0.1782624,0.6969378,0.4837681,0.1342531,0.0713077
"190",3,3,58,"S2 (X)",2194.28,1.05,12.96,5.61,0.85,0.15
"191",1,3,99,"10",8.72,0.081671,0.1780446,0.1431273,0.0527027,0.0262019
"192",2,3,99,"TOTALES",8.72,0.081671,0.1780446,0.1431273,0.0527027,0.0262019
"193",3,3,99,"S2 (X)",5551.81,0.48,2.31,1.49,0.2,0.05
"194",4,3,0,"10",146.49,1.1397465,2.5882292,1.7749275,0.2600444,0.3261131
"195",4,3,0,"15",81.11,1.445118,4.0410559,2.7152643,0.2805711,0.4501439
"196",4,3,0,"20",54.07,1.636825,5.9698405,4.0850257,0.3093454,0.4980638
"197",4,3,0,"25",23.25,1.1252984,4.3922807,3.1120622,0.1584245,0.3731476
"198",4,3,0,"30",17.06,1.1919557,5.0984809,3.6681339,0.1611574,0.3711527
"199",4,3,0,"35",12.39,1.1822742,5.5096159,3.9929828,0.1607627,0.3715833
"200",4,3,0,"40",6.58,0.8118437,4.1634545,3.0692865,0.1139215,0.2615245
"201",4,3,0,"45",3.21,0.497403,2.6502196,1.9665113,0.0766554,0.1586212
"202",4,3,0,"50",1.12,0.2092679,1.0639333,0.7922401,0.0310613,0.0681297
"203",4,3,0,"55",0.56,0.1301472,0.6213811,0.4703813,0.0188154,0.0446733
"204",4,3,0,"60",0.21,0.0573028,0.3506343,0.2715575,0.0126509,0.0190656
"205",4,3,0,"65",0.21,0.0706912,0.4791195,0.3963558,0.0171714,0.0284252
"206",4,3,0,"70",0.21,0.1185928,0.7045676,0.6658252,0.0069778,0.0631511
"207",5,3,0,"TOTALES",346.47,9.6164664,37.632813,26.9805541,1.6075592,3.033795
"208",6,3,0,"S2 (X)",121280.25,74.32,1712.39,873.32,3.3,7.36
"209",1,4,21,"10",53.87,0.4563481,1.1218175,0.868465,0.1053846,0.137258
"210",1,4,21,"15",47.13,0.7942219,2.4985604,1.9672154,0.209297,0.2510036
"211",1,4,21,"20",18.98,0.5613722,2.1985538,1.7842863,0.1299148,0.1847538
"212",1,4,21,"25",10.07,0.4856089,2.0786846,1.7316071,0.0993218,0.1656191
"213",1,4,21,"30",6.53,0.4650703,2.0968303,1.7761122,0.0845244,0.1631729
"214",1,4,21,"35",2.72,0.2509841,1.2089741,1.0380425,0.0397758,0.0897127
"215",1,4,21,"40",1.09,0.1421691,0.5594989,0.4831378,0.0165976,0.0521266
"216",1,4,21,"45",0.2,0.0289489,0.0976334,0.083997,0.0031222,0.0107099
"217",2,4,21,"TOTALES",140.59,3.1847235,11.860553,9.7328633,0.6879382,1.0543566
"218",3,4,21,"S2 (X)",148845.65,52.43,884.4,605.15,2.81,5.69
"219",1,4,24,"15",0.61,0.0080005,0.0186768,0.0132381,0.0011942,0.002308
"220",1,4,24,"20",0.61,0.0219145,0.052886,0.0378195,0.0017187,0.0074701
"221",1,4,24,"25",1.9,0.1023448,0.3673496,0.2706362,0.0122348,0.0373394
"222",1,4,24,"30",0.54,0.0432926,0.2865501,0.220128,0.0078421,0.0168458
"223",1,4,24,"35",0.27,0.0263999,0.0811178,0.0607507,0.0025206,0.010615
"224",1,4,24,"40",0.54,0.064667,0.1809861,0.1375,0.0047934,0.0268898
"225",1,4,24,"45",0.39,0.0608942,0.2910482,0.2310215,0.0066889,0.0264771
"226",1,4,24,"50",0.1,0.0190391,0.0624475,0.0484625,0.0016296,0.008589
"227",2,4,24,"TOTALES",4.96,0.3465526,1.3410621,1.0195565,0.0386223,0.1365342
"228",3,4,24,"S2 (X)",956.32,4.1,49.21,28.13,0.04,0.62
